Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),Year
DTW,Detroit,MI,353.75,474.77,2010
FLL,Fort Lauderdale,FL,247.05,331.57,2010
DCA,Washington-Reagan National,DC,371.8,499.0,2010
TPA,Tampa,FL,284.5,381.83,2010
MIA,Miami,FL,334.27,448.63,2010
AUS,Austin,TX,342.14,459.19,2010
BWI,Baltimore,MD,284.45,381.76,2010
PDX,Portland,OR,350.32,470.17,2010
SLC,Salt Lake City,UT,345.47,463.66,2010
BNA,Nashville,TN,329.25,441.89,2010
CLT,Charlotte,NC,362.96,487.14,2010
SMF,Sacramento,CA,311.26,417.74,2010
RDU,Raleigh/Durham,NC,305.26,409.7,2010
MDW,Chicago-Midway,IL,271.54,364.44,2010
HNL,Honolulu,HI,321.4,431.35,2010
STL,St. Louis,MO,315.5,423.43,2010
SJC,San Jose,CA,290.86,390.37,2010
OAK,Oakland,CA,269.17,361.25,2010
DAL,Dallas-Love Field,TX,254.55,341.64,2010
SNA,Santa Ana,CA,323.05,433.57,2010
MCI,Kansas City,MO,305.98,410.66,2010
MSY,New Orleans,LA,308.34,413.82,2010
CLE,Cleveland,OH,380.98,511.32,2010
IAD,Washington-Dulles,DC,419.38,562.85,2010
IND,Indianapolis,IN,309.38,415.22,2010
SJU,San Juan,PR,290.4,389.75,2010
SAT,San Antonio,TX,325.31,436.6,2010
PIT,Pittsburgh,PA,306.58,411.47,2010
CVG,Cincinnati,OH,424.1,569.19,2010
CMH,Columbus,OH,309.5,415.39,2010
HOU,Houston-Hobby,TX,283.67,380.72,2010
RSW,Fort Myers,FL,256.41,344.13,2010
BDL,Hartford,CT,374.63,502.8,2010
ONT,Ontario,CA,300.16,402.85,2010
JAX,Jacksonville,FL,306.94,411.95,2010
MKE,Milwaukee,WI,258.74,347.26,2010
BUR,Burbank,CA,260.17,349.18,2010
PBI,West Palm Beach/Palm Beach,FL,280.65,376.67,2010
OMA,Omaha,NE,330.96,444.19,2010
MEM,Memphis,TN,428.29,574.81,2010
RIC,Richmond,VA,338.83,454.74,2010
BOI,Boise,ID,317.0,425.45,2010
CHS,Charleston,SC,452.77,607.67,2010
BUF,Buffalo,NY,277.08,371.87,2010
ORF,Norfolk,VA,360.08,483.27,2010
ABQ,Albuquerque,NM,322.75,433.17,2010
OGG,Kahului,HI,233.6,313.52,2010
ELP,El Paso,TX,338.99,454.96,2010
GRR,Grand Rapids,MI,377.29,506.37,2010
OKC,Oklahoma City,OK,367.57,493.33,2010
SDF,Louisville,KY,348.22,467.35,2010
ANC,Anchorage,AK,547.98,735.45,2010
GEG,Spokane,WA,309.37,415.2,2010
RNO,Reno,NV,299.13,401.47,2010
PVD,Providence,RI,325.95,437.47,2010
TUS,Tucson,AZ,338.32,454.06,2010
DSM,Des Moines,IA,403.23,541.18,2010
LGB,Long Beach,CA,236.35,317.2,2010
TUL,Tulsa,OK,359.79,482.88,2010
SYR,Syracuse,NY,366.8,492.29,2010
SRQ,Sarasota/Bradenton,FL,284.1,381.29,2010
ALB,Albany,NY,374.06,502.03,2010
BHM,Birmingham,AL,351.8,472.16,2010
SAV,Savannah,GA,421.04,565.08,2010
ROC,Rochester,NY,305.63,410.19,2010
KOA,Kona,HI,240.24,322.42,2010
TYS,Knoxville,TN,436.15,585.36,2010
MYR,Myrtle Beach,SC,253.14,339.75,2010
PNS,Pensacola,FL,375.26,503.63,2010
GSP,Greenville-Spartanburg,SC,424.49,569.71,2010
COS,Colorado Springs,CO,385.05,516.79,2010
HPN,White Plains,NY,298.18,400.19,2010
LIH,Lihue,HI,212.28,284.91,2010
FAT,Fresno,CA,413.11,554.43,2010
LIT,Little Rock,AR,357.94,480.39,2010
MSN,Madison,WI,390.58,524.21,2010
PWM,Portland,ME,348.05,467.12,2010
PSP,Palm Springs,CA,385.62,517.55,2010
BZN,Bozeman,MT,425.01,570.41,2010
SFB,Sanford,FL,129.27,173.5,2010
PIE,St. Petersburg,FL,124.4,166.96,2010
AVL,Asheville,NC,371.87,499.09,2010
LAX,Los Angeles,CA,394.88,513.76,2011
ORD,Chicago-O'Hare,IL,378.78,492.8,2011
DEN,Denver,CO,319.57,415.77,2011
ATL,Atlanta,GA,368.74,479.74,2011
EWR,Newark,NJ,469.86,611.31,2011
BOS,Boston,MA,351.65,457.51,2011
SEA,Seattle,WA,363.49,472.91,2011
MCO,Orlando,FL,271.1,352.71,2011
DFW,Dallas-DFW,TX,417.41,543.07,2011
PHX,Phoenix,AZ,322.22,419.22,2011
SFO,San Francisco,CA,406.51,528.89,2011
JFK,New York-JFK,NY,390.96,508.66,2011
LAS,Las Vegas,NV,273.5,355.83,2011
LGA,New York-La Guardia,NY,351.27,457.01,2011
MSP,Minneapolis,MN,412.68,536.91,2011
PHL,Philadelphia,PA,380.43,494.95,2011
IAH,Houston-Intercontinental,TX,477.47,621.2,2011
SAN,San Diego,CA,350.42,455.91,2011
DTW,Detroit,MI,378.55,492.51,2011
FLL,Fort Lauderdale,FL,265.28,345.14,2011
DCA,Washington-Reagan National,DC,379.01,493.11,2011
TPA,Tampa,FL,308.91,401.9,2011
MIA,Miami,FL,355.1,462.0,2011
AUS,Austin,TX,367.76,478.46,2011
BWI,Baltimore,MD,319.3,415.42,2011
PDX,Portland,OR,369.27,480.43,2011
SLC,Salt Lake City,UT,372.21,484.26,2011
BNA,Nashville,TN,356.28,463.54,2011
CLT,Charlotte,NC,394.11,512.76,2011
SMF,Sacramento,CA,342.35,445.42,2011
RDU,Raleigh/Durham,NC,338.56,440.48,2011
MDW,Chicago-Midway,IL,295.99,385.09,2011
HNL,Honolulu,HI,355.56,462.59,2011
STL,St. Louis,MO,337.87,439.58,2011
SJC,San Jose,CA,325.61,423.64,2011
OAK,Oakland,CA,295.48,384.43,2011
DAL,Dallas-Love Field,TX,278.06,361.77,2011
SNA,Santa Ana,CA,357.61,465.27,2011
MCI,Kansas City,MO,329.63,428.86,2011
MSY,New Orleans,LA,335.38,436.34,2011
CLE,Cleveland,OH,422.55,549.76,2011
IAD,Washington-Dulles,DC,470.41,612.03,2011
IND,Indianapolis,IN,357.02,464.5,2011
SJU,San Juan,PR,318.62,414.54,2011
SAT,San Antonio,TX,353.71,460.19,2011
PIT,Pittsburgh,PA,335.63,436.67,2011
CVG,Cincinnati,OH,482.57,627.84,2011
CMH,Columbus,OH,346.54,450.86,2011
HOU,Houston-Hobby,TX,306.91,399.31,2011
RSW,Fort Myers,FL,290.68,378.19,2011
BDL,Hartford,CT,380.63,495.21,2011
ONT,Ontario,CA,328.74,427.71,2011
JAX,Jacksonville,FL,343.74,447.22,2011
MKE,Milwaukee,WI,294.92,383.7,2011
BUR,Burbank,CA,289.34,376.45,2011
PBI,West Palm Beach/Palm Beach,FL,307.57,400.16,2011
OMA,Omaha,NE,353.26,459.61,2011
MEM,Memphis,TN,471.71,613.72,2011
RIC,Richmond,VA,394.11,512.75,2011
BOI,Boise,ID,348.68,453.65,2011
CHS,Charleston,SC,423.24,550.65,2011
BUF,Buffalo,NY,317.0,412.43,2011
ORF,Norfolk,VA,394.07,512.7,2011
ABQ,Albuquerque,NM,346.3,450.55,2011
OGG,Kahului,HI,266.92,347.27,2011
ELP,El Paso,TX,372.61,484.78,2011
GRR,Grand Rapids,MI,400.11,520.56,2011
OKC,Oklahoma City,OK,398.68,518.7,2011
SDF,Louisville,KY,384.63,500.42,2011
ANC,Anchorage,AK,551.66,717.73,2011
GEG,Spokane,WA,342.89,446.11,2011
RNO,Reno,NV,331.03,430.68,2011
PVD,Providence,RI,334.17,434.77,2011
TUS,Tucson,AZ,361.26,470.02,2011
DSM,Des Moines,IA,417.93,543.74,2011
LGB,Long Beach,CA,233.99,304.44,2011
TUL,Tulsa,OK,409.4,532.64,2011
SYR,Syracuse,NY,411.6,535.5,2011
SRQ,Sarasota/Bradenton,FL,317.91,413.62,2011
ALB,Albany,NY,410.87,534.55,2011
BHM,Birmingham,AL,389.78,507.12,2011
SAV,Savannah,GA,468.03,608.92,2011
ROC,Rochester,NY,350.73,456.32,2011
KOA,Kona,HI,263.98,343.45,2011
TYS,Knoxville,TN,434.04,564.71,2011
MYR,Myrtle Beach,SC,268.08,348.78,2011
PNS,Pensacola,FL,410.15,533.62,2011
GSP,Greenville-Spartanburg,SC,382.5,497.64,2011
COS,Colorado Springs,CO,427.67,556.41,2011
HPN,White Plains,NY,338.08,439.86,2011
LIH,Lihue,HI,242.82,315.92,2011
FAT,Fresno,CA,408.44,531.4,2011
LIT,Little Rock,AR,393.27,511.66,2011
MSN,Madison,WI,445.23,579.26,2011
PWM,Portland,ME,371.57,483.42,2011
PSP,Palm Springs,CA,419.5,545.79,2011
BZN,Bozeman,MT,438.17,570.08,2011
SFB,Sanford,FL,134.73,175.29,2011
PIE,St. Petersburg,FL,141.16,183.66,2011
AVL,Asheville,NC,389.71,507.03,2011
LAX,Los Angeles,CA,401.84,512.21,2012
ORD,Chicago-O'Hare,IL,385.05,490.81,2012
